time,light,sound
12-5-17:26:8:9,129,12
12-5-17:26:9:10,131,11
12-5-17:26:9:1,131,17
12-5-17:26:9:2,131,18
12-5-17:26:9:3,129,11
12-5-17:26:9:4,128,12
12-5-17:26:9:5,126,10
12-5-17:26:9:6,126,14
12-5-17:26:9:7,126,11
12-5-17:26:9:8,126,10
12-5-17:26:9:9,127,17
12-5-17:26:10:10,128,10
12-5-17:26:10:1,129,14
12-5-17:26:10:2,130,17
12-5-17:26:10:3,131,10
12-5-17:26:10:4,131,28
12-5-17:26:10:5,130,11
12-5-17:26:10:6,129,12
12-5-17:26:10:7,127,9
12-5-17:26:10:8,126,14
12-5-17:26:10:9,125,15
12-5-17:26:11:10,125,10
12-5-17:26:11:1,126,11
12-5-17:26:11:2,126,10
12-5-17:26:11:3,127,11
12-5-17:26:11:4,128,14
12-5-17:26:11:5,128,8
12-5-17:26:11:6,128,11
12-5-17:26:11:7,127,11
12-5-17:26:11:8,126,23
12-5-17:26:11:9,124,10
12-5-17:26:12:10,122,10
12-5-17:26:12:1,121,11
12-5-17:26:12:2,120,12
12-5-17:26:12:3,120,23
12-5-17:26:12:4,120,9
12-5-17:26:12:5,119,16
12-5-17:26:12:6,120,10
12-5-17:26:12:7,122,13
12-5-17:26:12:8,125,10
12-5-17:26:12:9,126,9
12-5-17:26:13:10,126,9
12-5-17:26:13:1,124,15
12-5-17:26:13:2,122,11
12-5-17:26:13:3,122,11
12-5-17:26:13:4,122,13
12-5-17:26:13:5,122,10
12-5-17:26:13:6,123,10
12-5-17:26:13:7,123,12
12-5-17:26:13:8,125,9
12-5-17:26:13:9,125,9
12-5-17:26:14:10,126,11
12-5-17:26:14:1,127,8
12-5-17:26:14:2,127,9
12-5-17:26:14:3,125,8
12-5-17:26:14:4,124,10
12-5-17:26:14:5,123,23
12-5-17:26:14:6,123,11
12-5-17:26:14:7,122,10
12-5-17:26:14:8,123,12
12-5-17:26:14:9,124,9
12-5-17:26:15:10,125,10
12-5-17:26:15:1,125,10
12-5-17:26:15:2,126,12
12-5-17:26:15:3,127,9
12-5-17:26:15:4,128,10
12-5-17:26:15:5,127,14
12-5-17:26:15:6,125,11
12-5-17:26:15:7,124,12
12-5-17:26:15:8,124,12
12-5-17:26:15:9,122,13
12-5-17:26:16:10,122,13
12-5-17:26:16:1,123,11
12-5-17:26:16:2,123,11
12-5-17:26:16:3,125,8
12-5-17:26:16:4,125,8
12-5-17:26:16:5,126,9
12-5-17:26:16:6,127,12
12-5-17:26:16:7,128,10
12-5-17:26:16:8,127,12
12-5-17:26:16:9,126,8
12-5-17:26:17:10,124,11
12-5-17:26:17:1,123,10
12-5-17:26:17:2,122,12
